Device:,rrqm/s,wrqm/s,r/s,w/s,rMB/s,wMB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
dm-1,0,0,0,0.8,0,0,12,0,0,0,0,0,0
sda,1.2,0,0.4,0.8,0.01,0,18.67,0.02,17.5,50.5,1,17,2.04
dm-0,0,0,1.6,0,0.01,0,8,0.09,57.62,57.62,0,12.63,2.02
dm-1,0,0,0,0.8,0,0,12,0,1,0,1,0.25,0.02
sda,0,0.8,0,2.4,0,0.01,12.75,0,0.5,0,0.5,0.33,0.08
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,3,0,0.01,10.2,0,0.67,0,0.67,0.27,0.08
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0.2,0,0,0,8,0,22,22,0,22,0.44
dm-0,0,0,0.2,0,0,0,8,0,22,22,0,22,0.44
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0.8,0,0.4,0,0,0,24,0,9.5,9.5,0,5,0.2
dm-0,0,0,1.2,0,0,0,8,0.01,9.33,9.33,0,1.67,0.2
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0.2,1,0,0.01,10.67,0.02,13.5,50,6.2,13.5,1.62
dm-0,0,0,0.2,0,0,0,8,0.01,50,50,0,50,1
dm-1,0,0,0,1,0,0.01,11.2,0.01,6.2,0,6.2,6.2,0.62
sda,0,0.2,0,0.8,0,0,12,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1,0,0,9.6,0,0,0,0,0,0
sda,0,0.2,0,1,0,0,5.8,0,0.2,0,0.2,0.2,0.02
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1,0,0,5.8,0,0.2,0,0.2,0.2,0.02
sda,0.2,0,0.4,0.2,0,0,10.67,0.19,318.67,478,0,318.67,19.12
dm-0,0,0,0.6,0,0,0,8,0.24,408,408,0,318.67,19.12
dm-1,0,0,0,0.2,0,0,8,0,0,0,0,0,0
sda,0,0,0,0.2,0,0,8,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.2,0,0,8,0,0,0,0,0,0
sda,0,0,1.4,0,0.01,0,8,0.09,67.43,67.43,0,39.29,5.5
dm-0,0,0,1.4,0,0.01,0,8,0.09,67.43,67.43,0,39.29,5.5
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0.8,0.4,1.4,1.4,0.01,0.01,13.21,0.14,46.43,87,5.86,33.79,9.46
dm-0,0,0,2,0,0.01,0,8,0.07,33.4,33.4,0,6.7,1.34
dm-1,0,0,0.4,1.6,0,0.01,13.7,0.09,41.8,188,5.25,44.4,8.88
sda,1.4,0.2,1.4,2.8,0.04,0.51,270.86,4.56,137,401.29,4.86,165.67,69.58
dm-0,0,0,1.8,0,0.01,0,8,1.05,0,0,0,73.44,13.22
dm-1,0,0,1.2,35,0.04,15.82,897.24,4.34,16.1,468.17,0.61,16.28,58.92
sda,0,0,0.8,43,0.01,20.21,945.5,147.19,1271.5,1428,1268.59,22.83,100
dm-0,0,0,0.4,0,0,0,8,2.93,9940,9940,0,819,32.76
dm-1,0,0,0,39.6,0,18.45,954.19,147.34,1385.86,0,1385.86,25.25,100
sda,0,0.8,0,125.4,0,58.27,951.73,140.21,1714.15,0,1714.15,7.97,100
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,123,0,56.64,943.07,141.99,1764.65,0,1764.65,8.13,100
sda,1.6,0,0,34.4,0,16.11,959.12,148.53,3185.93,0,3185.93,29.07,100
dm-0,0,0,2.2,0,0.01,0,8,6.47,0,0,0,305.55,67.22
dm-1,0,0,0.2,38.4,0,17.84,946.74,148.6,2868.43,0,2883.37,25.91,100
sda,0.4,0.4,1.4,62.6,0.01,28.75,920.58,143.22,2792.44,3570.14,2775.05,15.62,100
dm-0,0,0,1.2,0,0,0,8,4.82,8579.17,8579.17,0,833.33,100
dm-1,0,0,0.4,64.4,0,29.52,933.19,141.99,2732.71,3249.5,2729.5,15.44,100.02
sda,0.4,0,1.4,52,0.01,24.31,932.94,148.76,2994.09,3228.29,2987.78,18.73,100
dm-0,0,0,1,0,0,0,8,4.73,5727.2,5727.2,0,981.2,98.12
dm-1,0,0,0.4,51.2,0.01,23.52,933.67,146.95,3051.9,3036.5,3052.02,19.38,100
sda,0.8,0.2,5.4,116.8,0.17,53.44,898.53,43.48,460.57,254.15,470.11,8.14,99.52
dm-0,0,0,2.2,0,0.01,0,8,0.85,177.55,177.55,0,124.82,27.46
dm-1,0,0,4.2,86.6,0.16,39.83,901.97,43.29,624.41,265.95,641.79,8.24,74.78
sda,1.4,0.2,1,29.2,0,13.51,916.5,103.49,1165.16,439.8,1190,27.07,81.74
dm-0,0,0,1.6,0,0.01,0,8,1.7,381,381,0,168,26.88
dm-1,0,0,1.2,60.4,0.01,28.62,951.57,103.99,566.29,112.5,575.3,13.27,81.76
sda,3.8,0.2,2.6,102.2,0.05,49.22,962.85,117.3,1773.43,1936.85,1769.27,8.53,89.44
dm-0,0,0,4.6,0,0.02,0,8,9.48,2397.13,2397.13,0,174.87,80.44
dm-1,0,0,1.2,71,0.02,34.12,968.43,116.72,2574.14,2640.33,2573.02,12.39,89.42
sda,0.4,0,9.8,0,0.13,0,28.08,2.17,201.41,201.41,0,100.31,98.3
dm-0,0,0,1,0,0,0,8,0.14,144.6,144.6,0,128.2,12.82
dm-1,0,0,9.2,0,0.13,0,28.52,2.04,200.61,200.61,0,106.85,98.3
sda,0,0,4.2,0,0.06,0,30.1,2.15,469.81,469.81,0,223.62,93.92
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,4.6,0,0.06,0,28.17,2.15,428.96,428.96,0,204.17,93.92
sda,0,0,6.2,0.2,0.05,0,15.25,1.84,236,243.61,0,154.38,98.8
dm-0,0,0,1.6,0,0.01,0,8,0.13,81.12,81.12,0,59.5,9.52
dm-1,0,0,4.4,0.4,0.04,0,17.33,1.71,287.62,313.77,0,205.83,98.8
sda,0,0,8.6,0.2,0.8,0,186.36,2.53,352.18,341.88,795,108.3,95.3
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,8.8,0,0.81,0,188,2.53,352.18,334.11,0,108.3,95.3
sda,0,0.6,1.2,5,0.01,0.03,12.61,0.81,152.03,638.83,35.2,67.03,41.56
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.6,5.4,0,0.03,10.1,0.81,157.9,1277.67,33.48,69.27,41.56
sda,0,0.4,0.2,2.2,0,0.02,14.67,0.03,11.08,133,0,11.08,2.66
dm-0,0,0,0.2,0,0,0,8,0.03,133,133,0,133,2.66
dm-1,0,0,0,2.6,0,0.02,12.92,0,0,0,0,0,0
sda,1,0.4,1.2,3,0.01,0.02,13.71,0.36,68.33,217.33,8.73,77,32.34
dm-0,0,0,1.4,0,0.01,0,8,0.08,59,59,0,8.43,1.18
dm-1,0,0,1,3.4,0,0.02,10.91,0.34,60.77,237.2,8.88,70.82,31.16
sda,1,0,3.2,7.4,0.07,0.03,18.11,2.02,197.08,579.25,31.81,62.89,66.66
dm-0,0,0,1.4,0,0.01,0,8,0.76,542,542,0,77.43,10.84
dm-1,0,0,2.6,7.4,0.06,0.03,17.92,1.8,187.22,629.54,31.81,55.82,55.82
sda,28.6,0.8,13.8,7.6,0.17,0.03,19.14,1.68,75.4,62.01,99.71,34.45,73.72
dm-0,0,0,41.2,0,0.16,0,8,2.8,65.33,65.33,0,16.76,69.06
dm-1,0,0,1.4,8.6,0.01,0.03,8.32,1.08,106.58,102.86,107.19,28.62,28.62
sda,61,0.2,41.6,20,1.61,1.29,96.68,3.52,58.21,50.47,74.31,16.23,99.96
dm-0,0,0,88.4,0,0.35,0,8,4.67,54.01,54.01,0,11.23,99.3
dm-1,0,0,14.4,20,1.27,1.29,152.56,2.29,66.92,56.19,74.64,26.06,89.64
sda,37,0,30.4,2.8,4.53,0.01,279.61,4.61,137.51,141.02,99.43,30.09,99.9
dm-0,0,0,53.8,0,0.21,0,8,5.05,89.05,89.05,0,18.47,99.36
dm-1,0,0,13.4,3.6,4.32,0.03,523.91,3.35,196.29,228.25,77.33,48.33,82.16
sda,43.2,0,9.6,3.6,0.21,0.02,36.7,1.74,135.08,128.65,152.22,74.58,98.44
dm-0,0,0,52.6,0,0.21,0,8,4.28,86.28,86.28,0,18.71,98.44
dm-1,0,0,0,1.8,0,0,3.78,0.54,304.67,0,304.67,126.11,22.7
sda,1.8,0,2.6,2,0.02,0,9.39,0.26,57.57,91.54,13.4,34.22,15.74
dm-0,0,0,4.4,0,0.02,0,8,0.46,105.36,105.36,0,35.5,15.62
dm-1,0,0,0,2,0,0,4,0.03,13.4,0,13.4,13.4,2.68
sda,0,0,0.8,2,0,0,5.14,0.05,16.57,57.25,0.3,15.36,4.3
dm-0,0,0,0.8,0,0,0,8,0.05,57.25,57.25,0,53,4.24
dm-1,0,0,0,2,0,0,4,0,0.3,0,0.3,0.3,0.06
sda,1,0,0.6,1.6,0.01,0,9.45,0.02,7.55,26.67,0.38,4.36,0.96
dm-0,0,0,1.4,0,0.01,0,8,0.06,40.14,40.14,0,6.29,0.88
dm-1,0,0,0.2,1.6,0,0,5.33,0,0.44,1,0.38,0.44,0.08
sda,0,0.4,0,3.6,0,0.02,10.22,0,0.39,0,0.39,0.39,0.14
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,4,0,0.02,9.2,0,0.35,0,0.35,0.35,0.14
sda,0.8,0.2,0.2,2.8,0,0.01,11.73,0.28,92.27,302,77.29,86.33,25.9
dm-0,0,0,1,0,0,0,8,0.3,302,302,0,60.4,6.04
dm-1,0,0,0,3,0,0.01,9.07,0.22,72.13,0,72.13,66.2,19.86
sda,0.2,2,0.2,21.6,0,4.87,457.98,46.76,607.28,1130,602.44,33.28,72.54
dm-0,0,0,0.4,0,0,0,8,0.45,1130,1130,0,565,22.6
dm-1,0,0,0,53,0,19.28,744.91,48.73,281.81,0,281.81,13.69,72.54
sda,1.4,0.2,0,26.6,0,12.8,985.74,93.84,3630.08,0,3630.08,37.59,100
dm-0,0,0,1.6,0,0.01,0,8,4.76,0,0,0,372.25,59.56
dm-1,0,0,0,3.2,0,1.28,819.5,94.25,30239.81,0,30239.81,312.5,100
sda,0,0,0.8,7.8,0.01,2.89,689.12,2.56,3879.37,1151.75,4159.13,37.98,32.66
dm-0,0,0,0.4,0,0,0,8,2.43,17979.5,17979.5,0,814,32.56
dm-1,0,0,0.2,1.6,0,0,5.33,2.33,18663.33,1,20996.12,167.33,30.12
sda,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
sda,0,0,0.4,2,0,0,4.67,0,1.67,8,0.4,1,0.24
dm-0,0,0,0.4,0,0,0,8,0,8,8,0,4,0.16
dm-1,0,0,0,2,0,0,4,0,0.3,0,0.3,0.3,0.06
sda,0,0.6,0.8,3.8,0,0.02,9.04,0.04,7.74,43,0.32,4.52,2.08
dm-0,0,0,0.6,0,0,0,8,0.03,57.33,57.33,0,32.67,1.96
dm-1,0,0,0.2,4.4,0,0.02,8,0,0.26,0,0.27,0.26,0.12
sda,1.4,0.4,0.2,4.4,0.01,0.02,10.7,0.25,53.26,863,16.45,37.74,17.36
dm-0,0,0,1.6,0,0.01,0,8,1.38,863,863,0,107.87,17.26
dm-1,0,0,0,4.4,0,0.02,8.27,0.07,16.5,0,16.5,16.14,7.1
sda,0,0.4,0,38.4,0,17.81,949.71,1.02,26.5,0,26.5,0.36,1.38
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,38.8,0,17.81,939.92,1.03,26.6,0,26.6,0.36,1.38
sda,1.2,0,0.2,1.8,0.01,0.01,13.6,0.25,122.6,66,128.89,122.6,24.52
dm-0,0,0,1.4,0,0.01,0,8,0.09,66,66,0,9.43,1.32
dm-1,0,0,0,1.8,0,0.01,8.89,0.23,128.89,0,128.89,128.89,23.2
sda,0.4,0,3.2,0.8,0.34,0,172.4,5.47,1367.6,1680.81,114.75,155.15,62.06
dm-0,0,0,1.6,0,0.01,0,8,1.74,1089.12,1089.12,0,365.25,58.44
dm-1,0,0,2,0.8,0.33,0,241.71,4.63,1653.5,2269,114.75,209.29,58.6
sda,2,0,1.2,1.6,0.01,0,12,0.97,346.14,616.83,143.12,189.64,53.1
dm-0,0,0,3,0,0.01,0,8,2.96,985.2,985.2,0,176.73,53.02
dm-1,0,0,0.2,1.6,0,0,5.33,0.23,127.22,0,143.12,127.22,22.9
sda,2.8,0.2,1,2.6,0.01,0.02,18.22,0.62,172.78,388.4,89.85,105,37.8
dm-0,0,0,3.8,0,0.01,0,8,2.59,681.37,681.37,0,99.37,37.76
dm-1,0,0,0,2.8,0,0.02,12.57,0.23,83.43,0,83.43,83.43,23.36
sda,0.8,0.2,0.2,3.4,0,0.01,6.33,0.3,74.44,17,77.82,30.78,11.08
dm-0,0,0,1.2,0,0,0,8,0.08,11.33,11.33,0,28.5,3.42
dm-1,0,0,0,3.2,0,0.01,5.12,0.3,95.06,0,95.06,23.94,7.66
sda,1,0.2,0.2,28.8,0,13.9,982.01,103.48,1999.62,640,2009.06,32.72,94.9
dm-0,0,0,1.4,0,0.01,0,8,5,182.86,182.86,0,557.71,78.08
dm-1,0,0,0,41.6,0,19.96,982.58,103.22,1410.92,0,1410.92,20.56,85.52
sda,1,0,1,13.8,0.01,6.06,839.78,11.86,3876.85,2175.8,4000.12,29.12,43.1
dm-0,0,0,1.6,0,0.01,0,8,2.78,4742.62,4742.62,0,259,41.44
dm-1,0,0,0,1.2,0,0,4,11.05,46316.5,0,46316.5,304.5,36.54
sda,0.6,0,0.6,2.2,0,0.01,7.43,0.15,54.86,255,0.27,27.86,7.8
dm-0,0,0,1,0,0,0,8,0.38,379.6,379.6,0,77.2,7.72
dm-1,0,0,0.2,2.2,0,0.01,5.33,0,0.42,1,0.36,0.42,0.1
sda,2,0.2,0.6,2.4,0.01,0.01,11.73,0.2,66.13,329.33,0.33,37.87,11.36
dm-0,0,0,2.6,0,0.01,0,8,0.65,249.23,249.23,0,43.38,11.28
dm-1,0,0,0,2.6,0,0.01,5.54,0,0.31,0,0.31,0.31,0.08
sda,0.2,0.4,0.8,3.4,0,0.02,11.05,0.31,73.19,162.25,52.24,32.48,13.64
dm-0,0,0,1,0,0,0,8,0.17,171.8,171.8,0,47.6,4.76
dm-1,0,0,0,3.8,0,0.02,10.11,0.18,46.89,0,46.89,23.37,8.88
sda,0,0,0.2,2.8,0,0.01,4.93,0.01,4.93,1,5.21,4.93,1.48
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,2.4,0,0.01,5.69,0.01,5.69,1,6.08,5.69,1.48
sda,2,0.2,1.4,40.6,0.01,19.15,934.21,1.79,42.59,151.86,38.82,3.65,15.32
dm-0,0,0,3.4,0,0.01,0,8,0.58,170.82,170.82,0,32.94,11.2
dm-1,0,0,0,40.8,0,19.15,961.02,1.59,38.98,0,38.98,1.01,4.12
sda,0,0,0,2.2,0,0,4.36,0.06,28,0,28,28,6.16
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.2,0,0,4.36,0.06,28,0,28,28,6.16
sda,0.8,0,0.4,2,0,0,7.33,0.13,55.25,234,19.5,19.83,4.76
dm-0,0,0,1.2,0,0,0,8,0.28,234,234,0,39,4.68
dm-1,0,0,0,2,0,0,4,0.04,19.5,0,19.5,19.5,3.9
sda,0,0,0.2,1.6,0,0,5.33,0,0.67,1,0.62,0.67,0.12
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,1.6,0,0,5.33,0,0.56,0,0.62,0.56,0.1
sda,1,0.2,0.4,4,0.01,0.02,10.91,0.01,1.91,19,0.2,1.05,0.46
dm-0,0,0,1.4,0,0.01,0,8,0.03,19,19,0,2.71,0.38
dm-1,0,0,0,4.2,0,0.02,8.76,0,0.19,0,0.19,0.19,0.08
sda,0,0.8,0,5.6,0,0.02,8.11,0.01,1.68,0,1.68,1.21,0.68
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,6,0,0.02,7.57,0.02,2.57,0,2.57,1.13,0.68
sda,2.2,0.2,2.2,40.8,0.02,19.05,908.2,1.13,26.29,21.91,26.52,0.94,4.06
dm-0,0,0,4.2,0,0.02,0,8,0.1,22.67,22.67,0,6.33,2.66
dm-1,0,0,0.2,41,0,19.05,947.07,1.09,26.55,1,26.67,0.34,1.4
sda,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
sda,2.2,0,0.8,2.2,0.01,0.01,11.73,0.07,23.27,86.25,0.36,20.13,6.04
dm-0,0,0,3,0,0.01,0,8,0.33,108.53,108.53,0,19.87,5.96
dm-1,0,0,0,2.2,0,0.01,5.09,0,0.36,0,0.36,0.36,0.08
sda,2,0,28,1.6,2.96,0,205.24,0.82,27.77,28.25,19.38,16.15,47.8
dm-0,0,0,2.4,0,0.01,0,8,0.07,31,31,0,5.92,1.42
dm-1,0,0,27.6,1.6,2.95,0,207.4,0.81,27.66,28.14,19.38,16.23,47.38
sda,0,0.6,0.2,3.6,0,0.02,10.53,0,0.26,0,0.28,0.26,0.1
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,4.2,0,0.02,9.09,0,0.23,0,0.24,0.23,0.1
sda,0,0,0,2.4,0,0.01,4.83,0,0.42,0,0.42,0.42,0.1
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.2,0,0.01,5.27,0,0.45,0,0.45,0.45,0.1
sda,3.2,0.2,0.6,19.8,0.01,8.57,862.04,0.44,21.39,322.33,12.27,6.82,13.92
dm-0,0,0,3.8,0,0.01,0,8,1.14,299,299,0,34.84,13.24
dm-1,0,0,0,20,0,8.57,877.76,0.25,12.31,0,12.31,0.98,1.96
sda,0,0,0.4,2.2,0,0.01,8.62,0.1,36.54,11.5,41.09,36.54,9.5
dm-0,0,0,0.2,0,0,0,8,0,23,23,0,23,0.46
dm-1,0,0,0.2,2.2,0,0.01,8.67,0.09,37.67,0,41.09,37.67,9.04
sda,0.6,0,0.4,2,0,0,6.67,0.03,11.5,64,1,6.58,1.58
dm-0,0,0,1,0,0,0,8,0.06,61.4,61.4,0,13.8,1.38
dm-1,0,0,0,2,0,0,4,0,1,0,1,1,0.2
sda,0,0.2,0,2,0,0.01,11.2,0,0.3,0,0.3,0.3,0.06
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.2,0,0.01,10.18,0,0.27,0,0.27,0.27,0.06
sda,4,0.4,2,7.4,0.02,1.83,404.77,2.81,298.68,245,313.19,33.81,31.78
dm-0,0,0,6,0,0.02,0,8,1.51,251.63,251.63,0,43.7,26.22
dm-1,0,0,0,7.8,0,1.83,481.64,2.45,313.49,0,313.49,21.46,16.74
sda,0,0.4,0.2,4.4,0,0.01,7,0.09,19.61,2,20.41,19.09,8.78
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,4.6,0,0.01,6.71,0.09,18.88,2,19.61,18.29,8.78
sda,0.6,0,0.4,2,0,0,6.67,0.07,30.42,180,0.5,15.42,3.7
dm-0,0,0,1,0,0,0,8,0.18,180,180,0,36,3.6
dm-1,0,0,0,2,0,0,4,0,0.5,0,0.5,0.5,0.1
sda,0,0,0,2.2,0,0.01,9.45,0.07,31,0,31,31,6.82
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2.2,0,0.01,9.45,0.07,31,0,31,31,6.82
sda,1,0,0.6,1.8,0.01,0,9.33,0.01,3.75,11.33,1.22,2.42,0.58
dm-0,0,0,1.4,0,0.01,0,8,0.02,16.57,16.57,0,2.43,0.34
dm-1,0,0,0.2,1.8,0,0,5.6,0,1.2,1,1.22,1.2,0.24
sda,1,0.4,0.6,2.6,0.01,0.01,11.5,0.35,110.56,383.33,47.62,62.19,19.9
dm-0,0,0,1.6,0,0.01,0,8,0.79,492.5,492.5,0,74,11.84
dm-1,0,0,0,3,0,0.01,8,0.28,94.33,0,94.33,26.87,8.06
sda,1.4,0.2,0,2.6,0,0.01,8,10.94,1.23,0,1.23,159.38,41.44
dm-0,0,0,1.6,0,0.01,0,8,2.29,0,0,0,179.25,28.68
dm-1,0,0,0,8,0,2.19,560,11.07,0.4,0,0.4,51.8,41.44
sda,1,0,0.2,5,0.01,1.98,782.46,17.94,4725.81,6290,4663.24,192.31,100
dm-0,0,0,1.2,0,0,0,8,7.94,8386.67,8386.67,0,833.17,99.98
dm-1,0,0,0,0.6,0,0,6,17.49,40460,0,40460,1666.67,100
sda,0,0,0.2,2,0,0.2,190.73,2.09,2905.91,2141,2982.4,181.91,40.02
dm-0,0,0,0,0,0,0,0,2.4,0,0,0,0,39.96
dm-1,0,0,0,0.8,0,0,4,1.69,7456,0,7456,500.25,40.02
sda,1,0,2,2,0.01,0,8.4,0.53,131.45,227.6,35.3,88.05,35.22
dm-0,0,0,2.8,0,0.01,0,8,0.45,159.57,159.57,0,80.71,22.6
dm-1,0,0,0.2,2,0,0,5.09,0.13,60.73,315,35.3,60.73,13.36
sda,1,0,0.4,1.6,0.01,0,8.8,0.96,481.5,1920,121.88,195.3,39.06
dm-0,0,0,1.4,0,0.01,0,8,2.69,1924.14,1924.14,0,278.43,38.98
dm-1,0,0,0,1.6,0,0,4,0.2,121.88,0,121.88,121.88,19.5
sda,0,0.2,0,1.8,0,0.01,8,0,0.89,0,0.89,0.89,0.16
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2,0,0.01,7.2,0,0.8,0,0.8,0.8,0.16
sda,0,0.4,0,6.8,0,1.68,504.71,3.55,521.79,0,521.79,49.21,33.46
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,7.2,0,1.68,476.67,3.55,492.81,0,492.81,46.47,33.46
sda,0,0.4,0.2,4,0,0.02,9.57,0.04,9.81,46,8,9.67,4.06
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0.2,4.2,0,0.02,9.14,0.04,9.45,46,7.71,9.23,4.06
sda,1,0,0,1.4,0,0,4.57,0.63,0.71,0,0.71,150.71,21.1
dm-0,0,0,1.4,0,0.01,0,8,1.47,0,0,0,150,21
dm-1,0,0,0,1.6,0,0,4,0.21,0.62,0,0.62,131.5,21.04
sda,0,0,0.6,1.8,0.01,0,8,0.55,490,1327.33,210.89,148.75,35.7
dm-0,0,0,0.2,0,0,0,8,0.55,10108,10108,0,1730,34.6
dm-1,0,0,0,1.6,0,0,4,0.17,237.38,0,237.38,106.5,17.04
sda,1.8,0,0.6,1.6,0.01,0,10.91,0.56,230.73,622.33,83.88,155.45,34.2
dm-0,0,0,2.8,0,0.01,0,8,2.28,785.21,785.21,0,122,34.16
dm-1,0,0,0,1.6,0,0,4,0.13,83.88,0,83.88,83.88,13.42
sda,2.2,0,2,1.8,0.02,0.01,13.05,0.73,155.63,231.3,71.56,109.74,41.7
dm-0,0,0,3.8,0,0.01,0,8,0.96,239.32,239.32,0,109.37,41.56
dm-1,0,0,0.2,2,0,0.01,7.27,0.23,75.64,188,64.4,103.27,22.72
sda,0,0.6,0.2,7.4,0,1.93,519.58,0.56,99.53,1018,74.7,12.18,9.26
dm-0,0,0,0,0,0,0,0,0.07,0,0,0,0,7.14
dm-1,0,0,0,7.8,0,1.93,506.05,0.53,75.92,0,75.92,11.87,9.26
sda,1.2,0,0.2,2.8,0.01,0,7.07,0.02,5.33,70,0.71,5.33,1.6
dm-0,0,0,1.4,0,0.01,0,8,0.1,70,70,0,10,1.4
dm-1,0,0,0,2.4,0,0,4.17,0,0.83,0,0.83,0.83,0.2
sda,0,0,0.2,2.4,0,0.01,5.54,0.01,4.23,51,0.33,4.23,1.1
dm-0,0,0,0.2,0,0,0,8,0.01,51,51,0,51,1.02
dm-1,0,0,0,2.4,0,0.01,5.33,0,0.33,0,0.33,0.33,0.08
sda,2.6,0,1,2,0.01,0.01,19.2,0.07,23.67,63.6,3.7,20.27,6.08
dm-0,0,0,3.4,0,0.01,0,8,0.13,38.29,38.29,0,6.94,2.36
dm-1,0,0,0.2,2,0,0.01,13.82,0.04,19.45,177,3.7,19.36,4.26
sda,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,2,0,0,4,0,0.6,0,0.6,0.6,0.12
sda,1.8,0.2,0.8,2.4,0.01,0.01,11,0.39,122.31,431.75,19.17,67.62,21.64
dm-0,0,0,2.6,0,0.01,0,8,1.49,574.62,574.62,0,82.08,21.34
dm-1,0,0,0,2.6,0,0.01,5.54,0.05,17.69,0,17.69,17.69,4.6
sda,0,0.4,0,3.6,0,0.02,10.22,0,0.28,0,0.28,0.28,0.1
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,4,0,0.02,9.2,0,0.25,0,0.25,0.25,0.1
sda,2.8,0.2,1.4,7,0.02,2.02,496.95,0.06,6.83,25.29,3.14,2.71,2.28
dm-0,0,0,4,0,0.02,0,8,0.08,19.05,19.05,0,4.4,1.76
dm-1,0,0,0.2,7,0,2.02,575.33,0.02,3.36,8,3.23,0.72,0.52
sda,0,0,0,1.6,0,0,4,0,0.5,0,0.5,0.5,0.08
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1.6,0,0,4,0,0.5,0,0.5,0.5,0.08
sda,1.2,0,0.8,2.2,0.01,0,8.53,0.04,14.47,53.75,0.18,7.33,2.2
dm-0,0,0,2,0,0.01,0,8,0.14,69,69,0,10.8,2.16
dm-1,0,0,0,2.2,0,0,4.36,0,0.18,0,0.18,0.18,0.04
sda,2.8,0,2.6,2.4,0.02,0.01,12.8,0.2,40.24,59.46,19.42,32.92,16.46
dm-0,0,0,5.2,0,0.02,0,8,0.28,54.62,54.62,0,22.04,11.46
dm-1,0,0,0.2,2.4,0,0.01,8.62,0.05,19.23,17,19.42,19.23,5
sda,1.4,0.2,0.2,2.6,0.01,0.01,15.43,0.01,4.71,26,3.08,4.71,1.32
dm-0,0,0,1.6,0,0.01,0,8,0.04,26,26,0,3.25,0.52
dm-1,0,0,0,2.8,0,0.01,10.86,0.01,2.93,0,2.93,2.93,0.82
sda,0,0.6,0,3.4,0,0.02,11.29,0,0.65,0,0.65,0.65,0.22
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,4,0,0.02,9.6,0,0.55,0,0.55,0.55,0.22
sda,1.4,0,0.2,6.2,0.01,1.88,603.78,0.1,15.03,221,8.39,7.47,4.78
dm-0,0,0,1.6,0,0.01,0,8,0.35,221,221,0,27.62,4.42
dm-1,0,0,0,5.8,0,1.88,664.03,0.05,8.97,0,8.97,6.38,3.7
sda,0.2,0,1.4,2,0.02,0,14.12,0.05,14.82,35.14,0.6,5.47,1.86
dm-0,0,0,1,0,0,0,8,0.05,48.2,48.2,0,10.6,1.06
dm-1,0,0,0.6,2,0.01,0,15.38,0.01,4.46,17.33,0.6,3.08,0.8
